Monthly Average Return,Monthly Standard Deviation,Monthly Sharpe Ratio,MDD,Final Return,Model,Strategy,Method
-0.1020%,4.4508%,-0.0229,-1.61%,-6.76%,Claude3-haiku,Long,increament
-0.8975%,5.3968%,-0.1663,9.42%,-30.64%,Claude3-haiku,Short,increament
-0.4998%,1.9768%,-0.2528,-10.61%,-16.65%,Claude3-haiku,Long&Short,increament
0.3372%,5.3998%,0.0625,-1.04%,7.10%,Claude3-haiku,Long,Static
-0.7473%,5.0606%,-0.1477,9.67%,-27.07%,Claude3-haiku,Short,Static
-0.2051%,1.9008%,-0.1079,-2.22%,-7.71%,Claude3-haiku,Long&Short,Static
0.2104%,5.2483%,0.0401,-1.35%,2.63%,Claude3-opus,Long,increament
-0.5080%,5.7433%,-0.0885,-17.91%,-20.94%,Claude3-opus,Short,increament
-0.1488%,1.8922%,-0.0786,-2.17%,-5.66%,Claude3-opus,Long&Short,increament
0.3787%,5.2002%,0.0728,-1.02%,9.24%,Claude3-opus,Long,Static
-0.0343%,5.4368%,-0.0063,-25.49%,-6.14%,Claude3-opus,Short,Static
0.1722%,2.0036%,0.0859,-1.43%,5.65%,Claude3-opus,Long&Short,Static
-0.5493%,5.5529%,-0.0989,-2.86%,-21.88%,Claude3-sonnet,Long,increament
-0.5032%,5.6764%,-0.0887,-5.26%,-20.67%,Claude3-sonnet,Short,increament
-0.5262%,1.9743%,-0.2665,-8.04%,-17.42%,Claude3-sonnet,Long&Short,increament
0.2973%,4.9246%,0.0604,-1.17%,6.59%,Claude3-sonnet,Long,Static
0.1934%,5.7856%,0.0334,-2.06%,1.11%,Claude3-sonnet,Short,Static
0.2453%,2.1014%,0.1167,-1.09%,8.38%,Claude3-sonnet,Long&Short,Static
-0.5839%,5.1812%,-0.1127,-2.50%,-22.27%,FinLlama3,Long,increament
-0.5111%,4.5722%,-0.1118,-113.44%,-19.34%,FinLlama3,Short,increament
-0.5475%,1.7350%,-0.3156,-8.79%,-17.91%,FinLlama3,Long&Short,increament
-0.4150%,4.5488%,-0.0912,-2.65%,-17.00%,FinLlama3,Long,Static
-1.2224%,5.6547%,-0.2162,17.40%,-39.32%,FinLlama3,Short,Static
-0.8187%,1.8239%,-0.4489,116.94%,-26.06%,FinLlama3,Long&Short,Static
-0.1856%,5.3267%,-0.0348,-2.32%,-10.90%,Gemini-1-pro,Long,increament
-0.1365%,5.6058%,-0.0244,18.45%,-9.57%,Gemini-1-pro,Short,increament
-0.1611%,1.6794%,-0.0959,267.35%,-5.94%,Gemini-1-pro,Long&Short,increament
0.4567%,5.9201%,0.0771,-0.92%,10.79%,Gemini-1-pro,Long,Static
-0.1662%,5.6932%,-0.0292,-15.97%,-10.96%,Gemini-1-pro,Short,Static
0.1453%,2.0391%,0.0712,-1.31%,4.62%,Gemini-1-pro,Long&Short,Static
-0.4495%,6.2576%,-0.0718,-2.73%,-20.39%,Gemini-1.5-pro,Long,increament
-0.6689%,5.7970%,-0.1154,8.74%,-25.31%,Gemini-1.5-pro,Short,increament
-0.5592%,1.9192%,-0.2914,16.52%,-18.34%,Gemini-1.5-pro,Long&Short,increament
1.2328%,5.7327%,0.2150,-0.98%,46.80%,Gemini-1.5-pro,Long,Static
-0.8606%,4.8886%,-0.1760,11.34%,-29.76%,Gemini-1.5-pro,Short,Static
0.1861%,1.8848%,0.0987,-1.09%,6.26%,Gemini-1.5-pro,Long&Short,Static
0.6744%,5.9085%,0.1141,-1.23%,19.20%,KB-ALbert,Long,increament
-0.7327%,5.3080%,-0.1380,27.06%,-26.36%,KB-ALbert,Short,increament
-0.0292%,2.4238%,-0.0120,-2.13%,-2.00%,KB-ALbert,Long&Short,increament
-0.0178%,5.5743%,-0.0032,-1.52%,-6.06%,KB-ALbert,Long,Static
-0.9147%,5.1039%,-0.1792,-11.20%,-31.47%,KB-ALbert,Short,Static
-0.4663%,2.2101%,-0.2110,-3.16%,-16.21%,KB-ALbert,Long&Short,Static
0.7806%,4.6187%,0.1690,-0.79%,26.58%,KR-Finbert,Long,increament
-1.1416%,5.7275%,-0.1993,10.27%,-36.75%,KR-Finbert,Short,increament
-0.1805%,1.8309%,-0.0986,-1.98%,-6.67%,KR-Finbert,Long&Short,increament
0.7000%,5.2129%,0.1343,-1.15%,22.43%,KR-Finbert,Long,Static
-0.1006%,5.9340%,-0.0170,-4.06%,-9.31%,KR-Finbert,Short,Static
0.2997%,2.4494%,0.1223,-1.41%,10.23%,KR-Finbert,Long&Short,Static
0.0197%,5.0114%,0.0039,-2.08%,-3.54%,LLAMA-8B,Long,increament
-0.5662%,5.7909%,-0.0978,53.98%,-22.56%,LLAMA-8B,Short,increament
-0.2733%,1.8906%,-0.1445,-6.30%,-9.69%,LLAMA-8B,Long&Short,increament
0.7190%,5.5425%,0.1297,-0.78%,22.61%,LLAMA-8B,Long,Static
-0.2357%,5.8235%,-0.0405,-3.27%,-13.39%,LLAMA-8B,Short,Static
0.2417%,2.1420%,0.1128,-0.68%,8.21%,LLAMA-8B,Long&Short,Static
-0.2316%,6.5372%,-0.0354,-2.19%,-14.36%,LLAMA3-8B-CL,Long,increament
-1.2030%,6.0178%,-0.1999,3.35%,-38.59%,LLAMA3-8B-CL,Short,increament
-0.7173%,2.1008%,-0.3415,3.47%,-22.86%,LLAMA3-8B-CL,Long&Short,increament
-0.2754%,6.0293%,-0.0457,-1.83%,-15.13%,LLAMA3-8B-CL,Long,Static
-0.9715%,5.3880%,-0.1803,7.78%,-33.15%,LLAMA3-8B-CL,Short,Static
-0.6234%,1.7521%,-0.3558,147.90%,-20.60%,LLAMA3-8B-CL,Long&Short,Static
0.5040%,4.9839%,0.1011,-1.18%,14.23%,LLAMA3-8B-CL-filtered,Long,increament
-1.0047%,5.7504%,-0.1747,14.39%,-33.62%,LLAMA3-8B-CL-filtered,Short,increament
-0.2504%,1.4416%,-0.1737,-4.58%,-8.73%,LLAMA3-8B-CL-filtered,Long&Short,increament
0.9378%,5.4940%,0.1707,-1.07%,32.59%,LLAMA3-8B-CL-filtered,Long,Static
-1.0433%,5.9441%,-0.1755,16.17%,-35.64%,LLAMA3-8B-CL-filtered,Short,Static
-0.0528%,2.3524%,-0.0224,-3.00%,-2.82%,LLAMA3-8B-CL-filtered,Long&Short,Static
0.0305%,2.5046%,0.0122,-1.18%,-0.09%,Claude3-haiku,Long,Static
-0.2264%,2.7707%,-0.0817,-86.69%,-33.86%,Claude3-haiku,Short,Static
-0.0979%,1.1295%,-0.0867,-2.66%,-15.02%,Claude3-haiku,Long&Short,Static
-0.1780%,2.5609%,-0.0695,-2.88%,-28.00%,Claude3-opus,Long,Static
0.0002%,2.5901%,0.0001,-1.31%,-5.06%,Claude3-opus,Short,Static
-0.0889%,1.0914%,-0.0814,-1.93%,-13.75%,Claude3-opus,Long&Short,Static
0.0765%,2.5459%,0.0300,-1.34%,7.15%,Claude3-sonnet,Long,Static
0.0295%,2.6680%,0.0111,-1.33%,-0.95%,Claude3-sonnet,Short,Static
0.0530%,1.1778%,0.0450,-0.95%,7.45%,Claude3-sonnet,Long&Short,Static
0.2165%,2.8342%,0.0764,-1.19%,31.75%,Gemini-1-pro,Long,Static
0.0260%,2.7064%,0.0096,-1.93%,-1.63%,Gemini-1-pro,Short,Static
0.1213%,1.1704%,0.1036,-1.09%,19.54%,Gemini-1-pro,Long&Short,Static
0.0080%,2.5934%,0.0031,-1.57%,-3.87%,Gemini-1.5-pro,Long,Static
0.0564%,2.4927%,0.0226,-3.06%,4.11%,Gemini-1.5-pro,Short,Static
0.0322%,1.0660%,0.0302,-1.20%,4.23%,Gemini-1.5-pro,Long&Short,Static
0.0447%,2.3396%,0.0191,-1.68%,2.80%,KB-ALbert,Long,Static
-0.1148%,2.5170%,-0.0456,7.33%,-20.44%,KB-ALbert,Short,Static
-0.0350%,0.8985%,-0.0390,-3.53%,-5.91%,KB-ALbert,Long&Short,Static
0.1290%,2.7689%,0.0466,-1.15%,15.25%,KR-Finbert,Long,Static
-0.0678%,2.6494%,-0.0256,-38.33%,-14.84%,KR-Finbert,Short,Static
0.0306%,1.1246%,0.0272,-1.22%,3.86%,KR-Finbert,Long&Short,Static
0.2072%,2.6212%,0.0791,-0.85%,31.01%,LLAMA-8B,Long,Static
-0.0366%,2.3461%,-0.0156,-2.18%,-9.48%,LLAMA-8B,Short,Static
0.0853%,1.0558%,0.0808,-0.91%,13.25%,LLAMA-8B,Long&Short,Static
0.0407%,2.8217%,0.0144,-2.24%,0.21%,LLAMA3-8B-CL,Long,Static
-0.2099%,2.6631%,-0.0788,8.46%,-31.86%,LLAMA3-8B-CL,Short,Static
-0.0846%,1.0601%,-0.0798,-9.69%,-13.13%,LLAMA3-8B-CL,Long&Short,Static
